Top Positive attributes and contributions false_neg
Attr_Name				Percentage occurrence in top contribution
pub525 				 3.6251105216622457
Morgan1873 				 3.4482758620689653
pub431 				 3.183023872679045
pub565 				 3.183023872679045
pub665 				 3.183023872679045
pub571 				 3.138815207780725
pub635 				 3.138815207780725
pub669 				 3.138815207780725
MACCS152 				 2.7409372236958442
pub342 				 2.7409372236958442
FpDensityMorgan3 				 2.6967285587975245
pub444 				 2.475685234305924
SMR_VSA3 				 2.4314765694076037
Morgan807 				 2.1220159151193636
pub186 				 2.1220159151193636
MaxAbsEStateIndex 				 2.0778072502210434
MaxEStateIndex 				 2.0778072502210434
OBFP4_2 				 2.033598585322723
pub13 				 2.033598585322723
pub608 				 2.033598585322723
pub618 				 2.033598585322723
MACCS137 				 1.900972590627763
MACCS146 				 1.900972590627763
OBFP4_275 				 1.900972590627763
pub614 				 1.856763925729443
pub705 				 1.856763925729443
SlogP_VSA4 				 1.8125552608311228
Morgan875 				 1.7683465959328029
MACCS116 				 1.7683465959328029
pub366 				 1.6799292661361627
MACCS115 				 1.6357206012378427
pub575 				 1.6357206012378427
FpDensityMorgan1 				 1.5473032714412025
MACCS97 				 1.5030946065428823
pub16 				 1.5030946065428823
EState_VSA9 				 1.4588859416445623
MACCS142 				 1.4588859416445623
pub346 				 1.4588859416445623
MACCS111 				 1.4146772767462423
pub193 				 1.4146772767462423
MACCS91 				 1.3704686118479221
OBFP4_137 				 1.3704686118479221
EState_VSA6 				 1.3262599469496021
pub798 				 1.3262599469496021
pub381 				 1.2820512820512822
pub549 				 1.2820512820512822
Morgan1325 				 1.237842617152962
MACCS123 				 1.237842617152962
pub644 				 1.237842617152962
PEOE_VSA9 				 1.193633952254642
Top Negative attributes and contributions
Attr_Name				Percentage occurrence in top contribution
pub10 				 3.795966785290629
pub285 				 3.795966785290629
pub11 				 3.7168841439304074
OBFP4_295 				 3.5587188612099645
MACCS164 				 3.3214709371293
pub19 				 3.3214709371293
pub12 				 3.2819296164491893
pub710 				 2.965599051008304
OBFP4_302 				 2.807433768287861
Morgan650 				 2.649268485567418
Estate35 				 2.649268485567418
Morgan1750 				 2.491103202846975
MACCS161 				 2.491103202846975
pub15 				 2.491103202846975
MACCS147 				 2.2143139580862
MACCS158 				 2.2143139580862
pub517 				 2.174772637406089
NumAromaticHeterocycles 				 2.0561486753657574
MACCS105 				 2.0561486753657574
MACCS118 				 1.937524713325425
MACCS157 				 1.8979833926453145
Estate9 				 1.8584420719652037
pub465 				 1.7793594306049823
pub642 				 1.7793594306049823
pub685 				 1.7793594306049823
pub693 				 1.7002767892447608
pub286 				 1.5816528272044286
pub680 				 1.5816528272044286
EState_VSA6 				 1.5421115065243178
pub641 				 1.5421115065243178
MACCS112 				 1.502570185844207
MACCS148 				 1.502570185844207
Estate34 				 1.502570185844207
SlogP_VSA4 				 1.4630288651640966
pub620 				 1.4630288651640966
pub684 				 1.4630288651640966
MACCS136 				 1.4234875444839858
pub541 				 1.4234875444839858
MACCS113 				 1.383946223803875
MACCS128 				 1.383946223803875
OBFP4_307 				 1.383946223803875
Morgan1019 				 1.3048635824436536
pub394 				 1.3048635824436536
OBFP4_301 				 1.265322261763543
Morgan1088 				 1.2257809410834322
pub652 				 1.2257809410834322
BertzCT 				 1.1862396204033214
SMR_VSA9 				 1.1862396204033214
NumRotatableBonds 				 1.1862396204033214
Morgan926 				 1.1862396204033214
